"   ","STRENGTHS","WEAKNESSES","PLAYING_STYLE","P_NAME","P_ID","TEAM_NAME","PLAYER_ID","ROWID"
"14868","Basketball IQ","Foul Prone","Pick-and-Roll","Power Forward","1","""SAC""","16823","AACmXpAAGAAA2giABW"
"14869","Size/Length","Weak Defense","Man-to-Man Defense","Small Forward","3","""IND""","4357","AACmXpAAGAAA2giABX"
"14870","Defense","Lack of Athleticism","Isolation","Small Forward","4","""LAC""","12784","AACmXpAAGAAA2giABY"
"14871","Rebounding","Poor Ball Handling","Pick-and-Roll","Power Forward","3","""PHI""","1876","AACmXpAAGAAA2giABZ"
"14872","Passing","Weak Defense","Half-Court Offense","Shooting Guard","5","""ORL""","1017","AACmXpAAGAAA2giABa"
"14873","Size/Length","Foul Prone","Man-to-Man Defense","Shooting Guard","1","""DET""","10432","AACmXpAAGAAA2giABb"
"14874","Rebounding","Inconsistent Shooting","Pick-and-Roll","Power Forward","3","""UTA""","7465","AACmXpAAGAAA2giABc"
"14875","Size/Length","Poor Ball Handling","Small Ball","Small Forward","3","""MIL""","18374","AACmXpAAGAAA2giABd"
"14876","Size/Length","Lack of Experience","Isolation","Point Guard","1","""CHI""","3319","AACmXpAAGAAA2giABe"
"14877","Rebounding","Weak Defense","Small Ball","Small Forward","3","""OKC""","14019","AACmXpAAGAAA2giABf"
"14878","Scoring","Inconsistent Shooting","Zone Defense","Shooting Guard","1","""PHI""","15192","AACmXpAAGAAA2giABg"
"14879","Passing","Poor Ball Handling","Small Ball","Power Forward","5","""IND""","19672","AACmXpAAGAAA2gjAAA"
"14880","Rebounding","Inconsistent Shooting","Zone Defense","Center","5","""DET""","19383","AACmXpAAGAAA2gjAAB"
"14881","Leadership","Foul Prone","Man-to-Man Defense","Point Guard","1","""DAL""","5524","AACmXpAAGAAA2gjAAC"
"14882","Leadership","Lack of Size/Length","Pick-and-Roll","Small Forward","1","ATL","12137","AACmXpAAGAAA2gjAAD"
"14883","Scoring","Inconsistent Shooting","Zone Defense","Power Forward","2","""SAS""","5027","AACmXpAAGAAA2gjAAE"
"14884","Ball Handling","Weak Defense","Pick-and-Roll","Power Forward","2","""WAS""","18455","AACmXpAAGAAA2gjAAF"
"14885","Shooting","Lack of Athleticism","Half-Court Offense","Shooting Guard","5","""CHA""","4646","AACmXpAAGAAA2gjAAG"
"14886","Rebounding","Poor Ball Handling","Small Ball","Point Guard","4","""IND""","15382","AACmXpAAGAAA2gjAAH"
"14887","Rebounding","Weak Defense","Fast Break","Power Forward","4","""WAS""","8269","AACmXpAAGAAA2gjAAI"
"14888","Scoring","Poor Decision Making","Man-to-Man Defense","Shooting Guard","3","""CLE""","1016","AACmXpAAGAAA2gjAAJ"
"14889","Shooting","Injury Prone","Triangle Offense","Shooting Guard","2","""DAL""","17067","AACmXpAAGAAA2gjAAK"
"14890","Size/Length","Lack of Size/Length","Man-to-Man Defense","Shooting Guard","5","""MEM""","4898","AACmXpAAGAAA2gjAAL"
"14891","Leadership","Foul Prone","Pick-and-Roll","Small Forward","1","""WAS""","11859","AACmXpAAGAAA2gjAAM"
"14892","Ball Handling","Poor Ball Handling","Fast Break","Point Guard","4","""DET""","19729","AACmXpAAGAAA2gjAAN"
"14893","Defense","Injury Prone","Small Ball","Shooting Guard","4","""CHA""","6406","AACmXpAAGAAA2gjAAO"
"14894","Size/Length","Poor Decision Making","Zone Defense","Small Forward","5","""SAC""","15275","AACmXpAAGAAA2gjAAP"
"14895","Scoring","Inconsistent Shooting","Man-to-Man Defense","Small Forward","3","""NYK""","18563","AACmXpAAGAAA2gjAAQ"
"14896","Ball Handling","Poor Ball Handling","Fast Break","Power Forward","3","""WAS""","10881","AACmXpAAGAAA2gjAAR"
"14897","Leadership","Weak Defense","Pick-and-Roll","Small Forward","1","""SAS""","11673","AACmXpAAGAAA2gjAAS"
"14898","Leadership","Foul Prone","Zone Defense","Shooting Guard","3","""OKC""","15006","AACmXpAAGAAA2gjAAT"
"14899","Versatility","Lack of Athleticism","Man-to-Man Defense","Center","1","""CHA""","2369","AACmXpAAGAAA2gjAAU"
"14900","Defense","Poor Ball Handling","Isolation","Point Guard","1","""SAC""","14805","AACmXpAAGAAA2gjAAV"
"14901","Rebounding","Lack of Size/Length","Half-Court Offense","Power Forward","3","ATL","14253","AACmXpAAGAAA2gjAAW"
"14902","Leadership","Foul Prone","Fast Break","Small Forward","2","""LAL""","12313","AACmXpAAGAAA2gjAAX"
"14903","Athleticism","Foul Prone","Isolation","Point Guard","4","""UTA""","10991","AACmXpAAGAAA2gjAAY"
"14904","Scoring","Poor Decision Making","Zone Defense","Power Forward","1","""HOU""","2504","AACmXpAAGAAA2gjAAZ"
"14905","Scoring","Weak Defense","Zone Defense","Shooting Guard","1","""UTA""","8499","AACmXpAAGAAA2gjAAa"
"14906","Scoring","Lack of Experience","Isolation","Shooting Guard","3","""SAS""","8568","AACmXpAAGAAA2gjAAb"
"14907","Passing","Lack of Experience","Isolation","Power Forward","3","""WAS""","15260","AACmXpAAGAAA2gjAAc"
"14908","Basketball IQ","Injury Prone","Zone Defense","Power Forward","3","""BOS""","17515","AACmXpAAGAAA2gjAAd"
"14909","Basketball IQ","Lack of Size/Length","Triangle Offense","Shooting Guard","2","""CHI""","3760","AACmXpAAGAAA2gjAAe"
"14910","Shooting","Lack of Athleticism","Zone Defense","Small Forward","3","""TOR""","10880","AACmXpAAGAAA2gjAAf"
"14911","Shooting","Poor Ball Handling","Pick-and-Roll","Center","3","""LAL""","5733","AACmXpAAGAAA2gjAAg"
"14912","Shooting","Inconsistent Shooting","Pick-and-Roll","Small Forward","5","""MIA""","7103","AACmXpAAGAAA2gjAAh"
"14913","Ball Handling","Lack of Size/Length","Zone Defense","Point Guard","3","""CLE""","10638","AACmXpAAGAAA2gjAAi"
"14914","Athleticism","Lack of Athleticism","Fast Break","Shooting Guard","1","""UTA""","403","AACmXpAAGAAA2gjAAj"
"14915","Passing","Lack of Athleticism","Isolation","Shooting Guard","3","""ORL""","1812","AACmXpAAGAAA2gjAAk"
"14916","Shooting","Injury Prone","Half-Court Offense","Small Forward","5","""SAC""","1824","AACmXpAAGAAA2gjAAl"
"14917","Rebounding","Weak Defense","Isolation","Point Guard","2","""DAL""","9302","AACmXpAAGAAA2gjAAm"
"14918","Shooting","Poor Ball Handling","Fast Break","Small Forward","3","""LAC""","17925","AACmXpAAGAAA2gjAAn"
"14919","Rebounding","Poor Ball Handling","Small Ball","Shooting Guard","2","""POR""","3697","AACmXpAAGAAA2gjAAo"
"14920","Size/Length","Lack of Size/Length","Man-to-Man Defense","Power Forward","5","""BKN""","7533","AACmXpAAGAAA2gjAAp"
"14921","Basketball IQ","Poor Ball Handling","Half-Court Offense","Small Forward","5","ATL","2660","AACmXpAAGAAA2gjAAq"
"14922","Athleticism","Poor Ball Handling","Man-to-Man Defense","Power Forward","2","""MIA""","13309","AACmXpAAGAAA2gjAAr"
"14923","Passing","Lack of Experience","Zone Defense","Power Forward","4","""DEN""","2488","AACmXpAAGAAA2gjAAs"
"14924","Defense","Poor Decision Making","Small Ball","Center","1","""NYK""","18899","AACmXpAAGAAA2gjAAt"
"14925","Scoring","Poor Ball Handling","Man-to-Man Defense","Power Forward","4","""HOU""","2216","AACmXpAAGAAA2gjAAu"
"14926","Shooting","Inconsistent Shooting","Man-to-Man Defense","Small Forward","4","""DAL""","10344","AACmXpAAGAAA2gjAAv"
"14927","Versatility","Inconsistent Shooting","Half-Court Offense","Shooting Guard","3","""MIN""","8739","AACmXpAAGAAA2gjAAw"
"14928","Size/Length","Inconsistent Shooting","Triangle Offense","Power Forward","1","""MIN""","8481","AACmXpAAGAAA2gjAAx"
"14929","Shooting","Foul Prone","Zone Defense","Small Forward","4","""POR""","19401","AACmXpAAGAAA2gjAAy"
"14930","Ball Handling","Lack of Athleticism","Isolation","Point Guard","3","""MIN""","3565","AACmXpAAGAAA2gjAAz"
"14931","Leadership","Poor Ball Handling","Man-to-Man Defense","Small Forward","5","""DAL""","4783","AACmXpAAGAAA2gjAA0"
"14932","Size/Length","Poor Decision Making","Man-to-Man Defense","Power Forward","5","""PHX""","10434","AACmXpAAGAAA2gjAA1"
"14933","Versatility","Injury Prone","Pick-and-Roll","Power Forward","2","""ORL""","218","AACmXpAAGAAA2gjAA2"
"14934","Versatility","Lack of Size/Length","Triangle Offense","Point Guard","1","""HOU""","8613","AACmXpAAGAAA2gjAA3"
"14935","Shooting","Lack of Experience","Pick-and-Roll","Shooting Guard","1","""PHX""","11142","AACmXpAAGAAA2gjAA4"
"14936","Basketball IQ","Injury Prone","Isolation","Point Guard","1","""MEM""","2912","AACmXpAAGAAA2gjAA5"
"14937","Passing","Weak Defense","Isolation","Center","2","""CHI""","5997","AACmXpAAGAAA2gjAA6"
"14938","Ball Handling","Inconsistent Shooting","Pick-and-Roll","Center","1","""WAS""","12690","AACmXpAAGAAA2gjAA7"
"14939","Passing","Poor Decision Making","Man-to-Man Defense","Center","3","""ORL""","2325","AACmXpAAGAAA2gjAA8"
"14940","Basketball IQ","Poor Ball Handling","Fast Break","Small Forward","1","""ORL""","18215","AACmXpAAGAAA2gjAA9"
"14941","Athleticism","Injury Prone","Isolation","Small Forward","1","""GSW""","8068","AACmXpAAGAAA2gjAA+"
"14942","Basketball IQ","Weak Defense","Triangle Offense","Point Guard","3","""MIL""","16673","AACmXpAAGAAA2gjAA/"
"14943","Basketball IQ","Weak Defense","Half-Court Offense","Point Guard","2","""HOU""","12343","AACmXpAAGAAA2gjABA"
"14944","Versatility","Weak Defense","Small Ball","Power Forward","2","""TOR""","14763","AACmXpAAGAAA2gjABB"
"14945","Versatility","Poor Ball Handling","Fast Break","Center","3","""MIA""","9182","AACmXpAAGAAA2gjABC"
"14946","Scoring","Foul Prone","Man-to-Man Defense","Center","5","""UTA""","5453","AACmXpAAGAAA2gjABD"
"14947","Size/Length","Foul Prone","Pick-and-Roll","Center","4","""WAS""","15230","AACmXpAAGAAA2gjABE"
"14948","Size/Length","Weak Defense","Zone Defense","Small Forward","1","""ORL""","9941","AACmXpAAGAAA2gjABF"
"14949","Basketball IQ","Lack of Athleticism","Fast Break","Shooting Guard","4","""BOS""","9479","AACmXpAAGAAA2gjABG"
"14950","Leadership","Lack of Experience","Fast Break","Shooting Guard","5","ATL","8059","AACmXpAAGAAA2gjABH"
"14951","Ball Handling","Foul Prone","Pick-and-Roll","Small Forward","3","""MEM""","10910","AACmXpAAGAAA2gjABI"
"14952","Shooting","Poor Ball Handling","Zone Defense","Small Forward","4","""OKC""","17890","AACmXpAAGAAA2gjABJ"
"14953","Shooting","Weak Defense","Man-to-Man Defense","Small Forward","5","""LAL""","19818","AACmXpAAGAAA2gjABK"
"14954","Defense","Weak Defense","Isolation","Point Guard","3","""PHX""","14128","AACmXpAAGAAA2gjABL"
"14955","Size/Length","Lack of Athleticism","Isolation","Center","2","""ORL""","11699","AACmXpAAGAAA2gjABM"
"14956","Defense","Weak Defense","Small Ball","Small Forward","5","""UTA""","1298","AACmXpAAGAAA2gjABN"
"14957","Defense","Lack of Size/Length","Fast Break","Shooting Guard","3","""DAL""","10287","AACmXpAAGAAA2gjABO"
"14958","Size/Length","Inconsistent Shooting","Man-to-Man Defense","Small Forward","2","""GSW""","18286","AACmXpAAGAAA2gjABP"
"14959","Ball Handling","Lack of Experience","Triangle Offense","Center","5","""NOP""","9767","AACmXpAAGAAA2gjABQ"
"14960","Basketball IQ","Poor Decision Making","Fast Break","Center","1","""DAL""","11262","AACmXpAAGAAA2gjABR"
"14961","Basketball IQ","Injury Prone","Zone Defense","Shooting Guard","5","""OKC""","6692","AACmXpAAGAAA2gjABS"
"14962","Rebounding","Lack of Experience","Fast Break","Shooting Guard","1","""NOP""","9002","AACmXpAAGAAA2gjABT"
"14963","Passing","Lack of Size/Length","Half-Court Offense","Center","3","""MEM""","10872","AACmXpAAGAAA2gjABU"
"14964","Shooting","Lack of Size/Length","Zone Defense","Center","3","""GSW""","14275","AACmXpAAGAAA2gjABV"
"14965","Rebounding","Lack of Athleticism","Small Ball","Small Forward","3","""CHA""","12860","AACmXpAAGAAA2gjABW"
"14966","Passing","Poor Ball Handling","Triangle Offense","Center","3","""LAC""","3478","AACmXpAAGAAA2gjABX"
"14967","Athleticism","Weak Defense","Isolation","Shooting Guard","4","""LAC""","4671","AACmXpAAGAAA2gjABY"
"14968","Athleticism","Poor Ball Handling","Isolation","Center","1","""PHX""","10407","AACmXpAAGAAA2gjABZ"
"14969","Ball Handling","Poor Ball Handling","Fast Break","Point Guard","5","""BKN""","1546","AACmXpAAGAAA2gjABa"
"14970","Rebounding","Poor Decision Making","Isolation","Point Guard","5","ATL","15135","AACmXpAAGAAA2gjABb"
"14971","Ball Handling","Weak Defense","Isolation","Small Forward","5","""MIA""","6930","AACmXpAAGAAA2gjABc"
"14972","Passing","Poor Decision Making","Isolation","Small Forward","1","""SAC""","11738","AACmXpAAGAAA2gjABd"
"14973","Ball Handling","Injury Prone","Small Ball","Shooting Guard","2","""GSW""","1767","AACmXpAAGAAA2gjABe"
"14974","Rebounding","Poor Ball Handling","Triangle Offense","Shooting Guard","2","""PHX""","5258","AACmXpAAGAAA2gjABf"
"14975","Scoring","Lack of Size/Length","Half-Court Offense","Point Guard","1","""HOU""","13939","AACmXpAAGAAA2gjABg"
"14976","Basketball IQ","Foul Prone","Zone Defense","Shooting Guard","4","""HOU""","15109","AACmXpAAGAAA2gjABh"
"14977","Size/Length","Weak Defense","Isolation","Point Guard","3","""GSW""","15377","AACmXpAAGAAA2gjABi"
"14978","Shooting","Lack of Experience","Zone Defense","Shooting Guard","4","""MIN""","16593","AACmXpAAGAAA2gkAAA"
"14979","Rebounding","Injury Prone","Zone Defense","Small Forward","4","""SAC""","18557","AACmXpAAGAAA2gkAAB"
"14980","Size/Length","Inconsistent Shooting","Isolation","Center","1","""GSW""","11915","AACmXpAAGAAA2gkAAC"
"14981","Passing","Lack of Experience","Man-to-Man Defense","Point Guard","2","""CHA""","17987","AACmXpAAGAAA2gkAAD"
"14982","Size/Length","Poor Decision Making","Pick-and-Roll","Center","2","""CHA""","4891","AACmXpAAGAAA2gkAAE"
"14983","Ball Handling","Injury Prone","Isolation","Shooting Guard","3","""CLE""","6815","AACmXpAAGAAA2gkAAF"
"14984","Rebounding","Lack of Experience","Triangle Offense","Point Guard","1","""MIN""","1752","AACmXpAAGAAA2gkAAG"
"14985","Leadership","Weak Defense","Pick-and-Roll","Center","2","""SAC""","140","AACmXpAAGAAA2gkAAH"
"14986","Basketball IQ","Foul Prone","Fast Break","Center","3","""WAS""","18358","AACmXpAAGAAA2gkAAI"
"14987","Ball Handling","Lack of Experience","Man-to-Man Defense","Shooting Guard","1","""LAC""","18535","AACmXpAAGAAA2gkAAJ"
"14988","Passing","Inconsistent Shooting","Triangle Offense","Shooting Guard","1","""MIN""","13805","AACmXpAAGAAA2gkAAK"
"14989","Defense","Weak Defense","Pick-and-Roll","Center","1","""CHA""","5140","AACmXpAAGAAA2gkAAL"
"14990","Ball Handling","Weak Defense","Small Ball","Center","3","""MIA""","8951","AACmXpAAGAAA2gkAAM"
"14991","Ball Handling","Weak Defense","Man-to-Man Defense","Power Forward","1","""CHA""","8343","AACmXpAAGAAA2gkAAN"
"14992","Athleticism","Inconsistent Shooting","Half-Court Offense","Power Forward","3","""ORL""","9252","AACmXpAAGAAA2gkAAO"
"14993","Shooting","Lack of Athleticism","Pick-and-Roll","Shooting Guard","3","""LAC""","10179","AACmXpAAGAAA2gkAAP"
"14994","Ball Handling","Poor Ball Handling","Zone Defense","Center","5","""LAC""","2470","AACmXpAAGAAA2gkAAQ"
"14995","Size/Length","Inconsistent Shooting","Half-Court Offense","Shooting Guard","4","""GSW""","9159","AACmXpAAGAAA2gkAAR"
"14996","Scoring","Poor Ball Handling","Small Ball","Small Forward","4","""MIA""","14426","AACmXpAAGAAA2gkAAS"
"14997","Defense","Injury Prone","Man-to-Man Defense","Shooting Guard","4","""CLE""","18154","AACmXpAAGAAA2gkAAT"
"14998","Shooting","Inconsistent Shooting","Pick-and-Roll","Center","2","""DEN""","6207","AACmXpAAGAAA2gkAAU"
"14999","Size/Length","Lack of Athleticism","Fast Break","Small Forward","5","""DEN""","14373","AACmXpAAGAAA2gkAAV"
"15000","Athleticism","Foul Prone","Half-Court Offense","Point Guard","5","""TOR""","427","AACmXpAAGAAA2gkAAW"
"15001","Scoring","Lack of Size/Length","Isolation","Point Guard","1","""ORL""","10683","AACmXpAAGAAA2gkAAX"
"15002","Versatility","Foul Prone","Fast Break","Small Forward","2","""POR""","18415","AACmXpAAGAAA2gkAAY"
"15003","Ball Handling","Lack of Experience","Pick-and-Roll","Small Forward","1","""MIN""","6768","AACmXpAAGAAA2gkAAZ"
"15004","Rebounding","Weak Defense","Half-Court Offense","Shooting Guard","5","""NYK""","10967","AACmXpAAGAAA2gkAAa"
"15005","Versatility","Injury Prone","Fast Break","Power Forward","4","""CHA""","16128","AACmXpAAGAAA2gkAAb"
"15006","Basketball IQ","Lack of Athleticism","Triangle Offense","Center","1","""BKN""","18656","AACmXpAAGAAA2gkAAc"
"15007","Shooting","Inconsistent Shooting","Triangle Offense","Center","2","""UTA""","11980","AACmXpAAGAAA2gkAAd"
"15008","Shooting","Injury Prone","Triangle Offense","Point Guard","1","""WAS""","19985","AACmXpAAGAAA2gkAAe"
"15009","Versatility","Poor Decision Making","Fast Break","Center","1","""UTA""","2956","AACmXpAAGAAA2gkAAf"
"15010","Size/Length","Lack of Experience","Fast Break","Power Forward","5","""DEN""","3094","AACmXpAAGAAA2gkAAg"
"15011","Athleticism","Inconsistent Shooting","Half-Court Offense","Small Forward","1","""CHA""","19337","AACmXpAAGAAA2gkAAh"
"15012","Defense","Inconsistent Shooting","Triangle Offense","Small Forward","5","""BOS""","5624","AACmXpAAGAAA2gkAAi"
"15013","Ball Handling","Weak Defense","Pick-and-Roll","Small Forward","5","""CLE""","13747","AACmXpAAGAAA2gkAAj"
"15014","Shooting","Lack of Athleticism","Fast Break","Small Forward","4","""BOS""","13781","AACmXpAAGAAA2gkAAk"
"15015","Rebounding","Lack of Experience","Small Ball","Small Forward","1","""ORL""","17858","AACmXpAAGAAA2gkAAl"
"15016","Rebounding","Poor Ball Handling","Small Ball","Center","3","""GSW""","12110","AACmXpAAGAAA2gkAAm"
"15017","Ball Handling","Poor Ball Handling","Zone Defense","Point Guard","4","""LAL""","154","AACmXpAAGAAA2gkAAn"
"15018","Passing","Poor Decision Making","Small Ball","Power Forward","5","""PHX""","16023","AACmXpAAGAAA2gkAAo"
"15019","Passing","Inconsistent Shooting","Pick-and-Roll","Center","3","""TOR""","258","AACmXpAAGAAA2gkAAp"
"15020","Ball Handling","Injury Prone","Isolation","Small Forward","1","""POR""","16107","AACmXpAAGAAA2gkAAq"
"15021","Rebounding","Lack of Size/Length","Fast Break","Small Forward","1","""CHI""","4136","AACmXpAAGAAA2gkAAr"
"15022","Ball Handling","Inconsistent Shooting","Man-to-Man Defense","Center","3","""LAL""","2867","AACmXpAAGAAA2gkAAs"
"15023","Versatility","Poor Ball Handling","Half-Court Offense","Point Guard","4","""CLE""","12736","AACmXpAAGAAA2gkAAt"
"15024","Ball Handling","Weak Defense","Man-to-Man Defense","Power Forward","1","""DAL""","19102","AACmXpAAGAAA2gkAAu"
"15025","Scoring","Inconsistent Shooting","Fast Break","Power Forward","3","""NYK""","15770","AACmXpAAGAAA2gkAAv"
"15026","Shooting","Weak Defense","Zone Defense","Point Guard","5","""NOP""","10779","AACmXpAAGAAA2gkAAw"
"15027","Basketball IQ","Foul Prone","Half-Court Offense","Small Forward","1","""TOR""","13388","AACmXpAAGAAA2gkAAx"
"15028","Basketball IQ","Inconsistent Shooting","Pick-and-Roll","Point Guard","4","""BOS""","12398","AACmXpAAGAAA2gkAAy"
"15029","Athleticism","Weak Defense","Small Ball","Shooting Guard","5","""MIA""","2960","AACmXpAAGAAA2gkAAz"
"15030","Ball Handling","Foul Prone","Man-to-Man Defense","Power Forward","5","""TOR""","15578","AACmXpAAGAAA2gkAA0"
"15031","Defense","Poor Decision Making","Triangle Offense","Point Guard","5","""TOR""","7041","AACmXpAAGAAA2gkAA1"
"15032","Defense","Weak Defense","Half-Court Offense","Center","1","""ORL""","6253","AACmXpAAGAAA2gkAA2"
"15033","Size/Length","Lack of Experience","Man-to-Man Defense","Point Guard","2","""OKC""","13354","AACmXpAAGAAA2gkAA3"
"15034","Versatility","Lack of Size/Length","Man-to-Man Defense","Point Guard","4","""CHA""","2689","AACmXpAAGAAA2gkAA4"
"15035","Basketball IQ","Poor Decision Making","Fast Break","Point Guard","1","""POR""","9329","AACmXpAAGAAA2gkAA5"
"15036","Athleticism","Poor Ball Handling","Zone Defense","Small Forward","3","""MIL""","19757","AACmXpAAGAAA2gkAA6"
"15037","Scoring","Poor Ball Handling","Fast Break","Point Guard","1","""GSW""","13776","AACmXpAAGAAA2gkAA7"
"15038","Size/Length","Lack of Athleticism","Small Ball","Shooting Guard","2","""MIL""","10770","AACmXpAAGAAA2gkAA8"
"15039","Ball Handling","Weak Defense","Triangle Offense","Small Forward","2","""SAS""","17813","AACmXpAAGAAA2gkAA9"
"15040","Athleticism","Lack of Size/Length","Isolation","Shooting Guard","2","""PHX""","12981","AACmXpAAGAAA2gkAA+"
"15041","Ball Handling","Lack of Athleticism","Zone Defense","Power Forward","1","""UTA""","17495","AACmXpAAGAAA2gkAA/"
"15042","Scoring","Lack of Experience","Fast Break","Power Forward","1","""CLE""","12783","AACmXpAAGAAA2gkABA"
"15043","Versatility","Lack of Size/Length","Man-to-Man Defense","Small Forward","1","""LAL""","12973","AACmXpAAGAAA2gkABB"
"15044","Scoring","Lack of Athleticism","Triangle Offense","Power Forward","4","""PHI""","7983","AACmXpAAGAAA2gkABC"
"15045","Ball Handling","Poor Ball Handling","Fast Break","Point Guard","5","""PHI""","14635","AACmXpAAGAAA2gkABD"
"15046","Ball Handling","Poor Ball Handling","Half-Court Offense","Point Guard","5","""GSW""","3567","AACmXpAAGAAA2gkABE"
"15047","Passing","Foul Prone","Fast Break","Small Forward","1","""CHI""","16868","AACmXpAAGAAA2gkABF"
"15048","Defense","Lack of Athleticism","Fast Break","Point Guard","3","""MIL""","10217","AACmXpAAGAAA2gkABG"
"15049","Rebounding","Injury Prone","Small Ball","Small Forward","1","""IND""","6043","AACmXpAAGAAA2gkABH"
"15050","Basketball IQ","Lack of Size/Length","Half-Court Offense","Small Forward","3","""DAL""","7983","AACmXpAAGAAA2gkABI"
"15051","Basketball IQ","Poor Decision Making","Zone Defense","Small Forward","4","""CLE""","2290","AACmXpAAGAAA2gkABJ"
"15052","Basketball IQ","Lack of Athleticism","Man-to-Man Defense","Center","4","""OKC""","6921","AACmXpAAGAAA2gkABK"
"15053","Shooting","Poor Decision Making","Small Ball","Point Guard","5","""NOP""","5931","AACmXpAAGAAA2gkABL"
"15054","Passing","Foul Prone","Fast Break","Shooting Guard","1","""UTA""","8679","AACmXpAAGAAA2gkABM"
"15055","Athleticism","Injury Prone","Small Ball","Shooting Guard","5","""TOR""","10214","AACmXpAAGAAA2gkABN"
"15056","Size/Length","Poor Decision Making","Small Ball","Small Forward","3","""LAL""","4033","AACmXpAAGAAA2gkABO"
"15057","Passing","Lack of Athleticism","Fast Break","Small Forward","3","""NYK""","3589","AACmXpAAGAAA2gkABP"
"15058","Shooting","Lack of Athleticism","Pick-and-Roll","Center","2","""POR""","17554","AACmXpAAGAAA2gkABQ"
"15059","Rebounding","Poor Ball Handling","Fast Break","Point Guard","2","""CHA""","18366","AACmXpAAGAAA2gkABR"
"15060","Rebounding","Poor Decision Making","Half-Court Offense","Point Guard","1","""UTA""","8215","AACmXpAAGAAA2gkABS"
"15061","Shooting","Poor Decision Making","Half-Court Offense","Point Guard","2","""PHX""","19506","AACmXpAAGAAA2gkABT"
"15062","Leadership","Foul Prone","Fast Break","Shooting Guard","3","""POR""","19972","AACmXpAAGAAA2gkABU"
"15063","Ball Handling","Weak Defense","Isolation","Point Guard","2","""OKC""","8712","AACmXpAAGAAA2gkABV"
"15064","Passing","Poor Ball Handling","Zone Defense","Center","4","""MIA""","5526","AACmXpAAGAAA2gkABW"
"15065","Leadership","Injury Prone","Isolation","Small Forward","5","""BKN""","16188","AACmXpAAGAAA2gkABX"
"15066","Versatility","Lack of Athleticism","Half-Court Offense","Power Forward","4","""PHI""","5794","AACmXpAAGAAA2gkABY"
"15067","Defense","Poor Ball Handling","Fast Break","Center","3","""BOS""","6691","AACmXpAAGAAA2gkABZ"
"15068","Defense","Poor Decision Making","Fast Break","Shooting Guard","4","""TOR""","13325","AACmXpAAGAAA2gkABa"
"15069","Rebounding","Lack of Athleticism","Zone Defense","Center","5","""BOS""","9000","AACmXpAAGAAA2gkABb"
"15070","Size/Length","Injury Prone","Small Ball","Power Forward","3","""PHX""","6289","AACmXpAAGAAA2gkABc"
"15071","Defense","Injury Prone","Zone Defense","Small Forward","4","ATL","9993","AACmXpAAGAAA2gkABd"
"15072","Basketball IQ","Inconsistent Shooting","Fast Break","Center","4","""SAC""","6954","AACmXpAAGAAA2gkABe"
"15073","Leadership","Inconsistent Shooting","Fast Break","Point Guard","2","""IND""","7340","AACmXpAAGAAA2gkABf"
"15074","Passing","Lack of Experience","Triangle Offense","Shooting Guard","4","""ORL""","983","AACmXpAAGAAA2gkABg"
"15075","Ball Handling","Lack of Size/Length","Man-to-Man Defense","Center","3","""BOS""","9703","AACmXpAAGAAA2gkABh"
"15076","Versatility","Lack of Experience","Zone Defense","Small Forward","1","""OKC""","8544","AACmXpAAGAAA2glAAA"
"15077","Leadership","Lack of Experience","Man-to-Man Defense","Point Guard","5","ATL","19701","AACmXpAAGAAA2glAAB"
"15078","Basketball IQ","Injury Prone","Zone Defense","Small Forward","5","""ORL""","16070","AACmXpAAGAAA2glAAC"
"15079","Scoring","Lack of Athleticism","Isolation","Point Guard","4","""UTA""","19893","AACmXpAAGAAA2glAAD"
"15080","Defense","Foul Prone","Small Ball","Shooting Guard","5","""DAL""","16632","AACmXpAAGAAA2glAAE"
"15081","Shooting","Poor Ball Handling","Isolation","Power Forward","4","""NYK""","15640","AACmXpAAGAAA2glAAF"
"15082","Basketball IQ","Lack of Athleticism","Triangle Offense","Shooting Guard","3","""DET""","8116","AACmXpAAGAAA2glAAG"
"15083","Leadership","Inconsistent Shooting","Triangle Offense","Small Forward","2","""MIA""","7394","AACmXpAAGAAA2glAAH"
"15084","Versatility","Lack of Size/Length","Isolation","Point Guard","3","""MEM""","15478","AACmXpAAGAAA2glAAI"
"15085","Ball Handling","Lack of Athleticism","Fast Break","Point Guard","2","""ORL""","1281","AACmXpAAGAAA2glAAJ"
"15086","Defense","Weak Defense","Man-to-Man Defense","Power Forward","1","""NYK""","7061","AACmXpAAGAAA2glAAK"
"15087","Versatility","Poor Ball Handling","Fast Break","Center","4","""CHA""","2470","AACmXpAAGAAA2glAAL"
"15088","Scoring","Lack of Size/Length","Isolation","Point Guard","3","""PHI""","4654","AACmXpAAGAAA2glAAM"
"15089","Athleticism","Weak Defense","Isolation","Small Forward","1","""NOP""","5531","AACmXpAAGAAA2glAAN"
"15090","Rebounding","Foul Prone","Triangle Offense","Center","3","""MEM""","2922","AACmXpAAGAAA2glAAO"
"15091","Leadership","Lack of Experience","Zone Defense","Power Forward","4","""MIL""","14317","AACmXpAAGAAA2glAAP"
"15092","Athleticism","Lack of Size/Length","Small Ball","Power Forward","3","""DET""","671","AACmXpAAGAAA2glAAQ"
"15093","Rebounding","Weak Defense","Pick-and-Roll","Center","3","""MIL""","19163","AACmXpAAGAAA2glAAR"
"15094","Rebounding","Lack of Experience","Isolation","Power Forward","2","""MIL""","17888","AACmXpAAGAAA2glAAS"
